Well	Plate_ID	Substrate	Concentration	Isolate	Ribotype	Group	Control	Flag	Subset	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change
G8	2020-06-22-R2	Water	None	CD4001	RT027	8	1	0	1	0.078	0.077	0.202	3.803	1.0
H8	2020-06-22-R2					0	0	0	1	0.068	0.067	0.068	1.6195000000000006	
A9	2020-06-22-R2	Glucose	Low	CD4010	RT027	9	0	0	1	0.077	0.075	0.648	9.691166666666666	5.238532110091743
B9	2020-06-22-R2	Glucose	High	CD4010	RT027	9	0	0	1	0.077	0.074	0.52	7.899666666666667	4.064220183486238
C9	2020-06-22-R2	Fructose	Low	CD4010	RT027	9	0	0	1	0.088	0.085	0.594	8.7865	4.642201834862385
D9	2020-06-22-R2	Fructose	High	CD4010	RT027	9	0	0	1	0.085	0.081	0.588	8.779166666666667	4.614678899082568
E9	2020-06-22-R2	Trehalose	Low	CD4010	RT027	9	0	0	1	0.082	0.079	0.249	4.454	1.532110091743119
F9	2020-06-22-R2	Trehalose	High	CD4010	RT027	9	0	0	1	0.084	0.081	0.395	6.358499999999999	2.8532110091743115
G9	2020-06-22-R2	Water	None	CD4010	RT027	9	1	0	1	0.087	0.084	0.196	3.439666666666666	1.0
H9	2020-06-22-R2					0	0	0	1	0.068	0.067	0.068	1.6193333333333337	
A10	2020-06-22-R2	Glucose	Low	CD4011	RT001	10	0	0	1	0.093	0.091	0.601	10.644833333333334	3.175
B10	2020-06-22-R2	Glucose	High	CD4011	RT001	10	0	0	1	0.096	0.093	0.723	12.167666666666666	3.9187499999999997
C10	2020-06-22-R2	Fructose	Low	CD4011	RT001	10	0	0	1	0.096	0.094	0.732	11.008666666666665	3.975
D10	2020-06-22-R2	Fructose	High	CD4011	RT001	10	0	0	1	0.1	0.097	0.72	12.200833333333334	3.875
E10	2020-06-22-R2	Trehalose	Low	CD4011	RT001	10	0	0	1	0.09	0.088	0.173	3.5349999999999997	0.5187499999999999
F10	2020-06-22-R2	Trehalose	High	CD4011	RT001	10	0	0	1	0.093	0.089	0.236	4.536833333333334	0.8937499999999999
G10	2020-06-22-R2	Water	None	CD4011	RT001	10	1	0	1	0.1	0.096	0.26	5.0165	1.0
H10	2020-06-22-R2					0	0	0	1	0.07	0.069	0.07	1.6676666666666666	
A11	2020-06-22-R2	Glucose	Low	CD4015	RT027	11	0	0	1	0.081	0.08	0.481	8.007833333333332	4.705882352941175
B11	2020-06-22-R2	Glucose	High	CD4015	RT027	11	0	0	1	0.084	0.081	0.532	8.4465	5.270588235294117
C11	2020-06-22-R2	Fructose	Low	CD4015	RT027	11	0	0	1	0.082	0.08	0.66	8.846666666666666	6.799999999999999
D11	2020-06-22-R2	Fructose	High	CD4015	RT027	11	0	0	1	0.086	0.081	0.694	9.881166666666665	7.152941176470587
E11	2020-06-22-R2	Trehalose	Low	CD4015	RT027	11	0	0	1	0.081	0.078	0.281	4.766500000000001	2.352941176470588
F11	2020-06-22-R2	Trehalose	High	CD4015	RT027	11	0	0	1	0.084	0.079	0.506	7.206833333333333	4.9647058823529395
G11	2020-06-22-R2	Water	None	CD4015	RT027	11	1	0	1	0.086	0.081	0.171	3.105833333333333	1.0
H11	2020-06-22-R2					0	0	0	1	0.068	0.068	0.068	1.6433333333333335	
A12	2020-06-22-R2	Glucose	Low	M120	RT078	12	0	0	1	0.088	0.088	0.487	7.839833333333333	3.325
B12	2020-06-22-R2	Glucose	High	M120	RT078	12	0	0	1	0.093	0.092	0.65	11.951	4.6416666666666675
C12	2020-06-22-R2	Fructose	Low	M120	RT078	12	0	0	1	0.089	0.089	0.618	8.383499999999998	4.408333333333334
D12	2020-06-22-R2	Fructose	High	M120	RT078	12	0	0	1	0.094	0.092	0.593	11.009166666666665	4.158333333333333
E12	2020-06-22-R2	Trehalose	Low	M120	RT078	12	0	0	1	0.092	0.091	0.554	9.698833333333333	3.850000000000001
F12	2020-06-22-R2	Trehalose	High	M120	RT078	12	0	0	1	0.097	0.093	0.65	11.010333333333332	4.608333333333334
G12	2020-06-22-R2	Water	None	M120	RT078	12	1	0	1	0.092	0.089	0.212	4.226666666666667	1.0
H12	2020-06-22-R2					0	0	0	1	0.073	0.072	0.073	1.7586666666666662	
