Sample_ID	Well	Plate_ID	Substrate	Concentration	Isolate	Ribotype	Group	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	MSE	dx_auc_lin	dx_auc_log	dx_k_lin	dx_k_log	dx_t_k	dx_gr	dx_dr	dx_td	dx_t_gr	dx_t_dr	dx_death_lin	dx_death_log	dx_lagC	dx_lagP	dx_t0	dx_tf	K_Error > 20%
196	E1	2020-06-22-R3	Trehalose	Low	CD1007	RT053	1	0	0	0.094	0.089	0.231	4.093666666666667	1.1512605042016808	0.094	7.810091914896082e-07	0.5990309438692699	0.5142726114609694	0.4403359986857942	0.3648764187908241	8.0	0.12367881050125414	0.11132127467110564	5.604413381327892	7.0	8.0	0.0	0.0	5.003456574045815	1.0	0.0	8.166666666666666	FALSE
196	E1	2020-06-22-R3	Trehalose	Low	CD1007	RT053	1	0	0	0.094	0.089	0.231	4.093666666666667	1.1512605042016808	0.094	7.810091914896082e-07	1.0058277961916404	0.8675670063058558	0.45417701782883335	0.37444011711280883	12.0	0.13272139019332493	0.027537241262509355	5.222573238196885	9.666666666666666	12.0	0.0	0.0	8.300085208422525	8.166666666666666	8.166666666666666	12.166666666666666	FALSE
196	E1	2020-06-22-R3	Trehalose	Low	CD1007	RT053	1	0	0	0.094	0.089	0.231	4.093666666666667	1.1512605042016808	0.094	7.810091914896082e-07	0.9495062282473037	0.9023269594281691	0.1540150706936647	0.14324722752720542	16.833333333333332	0.04613189506640103	-0.03217660181339541	15.025335065083443	13.666666666666666	18.5	0.1250760350504676	0.1147190186469429	12.469210541734208	12.166666666666666	12.166666666666666	24.0	FALSE
198	G1	2020-06-22-R3	Water	None	CD1007	RT053	1	1	0	0.091	0.087	0.21	3.988833333333333	1.0	0.091	6.818648526416345e-07	1.7365036226936477	1.3966918940555775	0.7504018654911315	0.559845398996289	9.0	0.16237829571320925	0.051514082644418	4.2687181652908475	6.833333333333333	9.0	0.0	0.0	4.855843882999032	1.1666666666666667	0.0	9.166666666666666	FALSE
198	G1	2020-06-22-R3	Water	None	CD1007	RT053	1	1	0	0.091	0.087	0.21	3.988833333333333	1.0	0.091	6.818648526416345e-07	3.761660979935355	3.3179792207749292	0.3095506709770435	0.2696840791211962	20.833333333333332	0.10080536252758085	-0.006093141116609942	6.876094318596362	11.0	22.166666666666668	0.008101928735969155	0.006206018046976514	9.638951121326174	9.166666666666666	9.166666666666666	24.0	FALSE
200	A2	2020-06-22-R3	Glucose	Low	CD1015	RT078	2	0	0	0.098	0.096	0.472	8.521666666666665	3.309734513274336	0.098	1.7357295869712568e-06	0.16642937635321825	0.15448238549117027	0.24431476061757063	0.21858498531654383	2.3333333333333335	0.20450103949463858	0.18891406548018974	3.389455536621454	2.0	2.3333333333333335	0.0	0.0	1.2553242051379154	0.16666666666666666	0.0	2.5	FALSE
200	A2	2020-06-22-R3	Glucose	Low	CD1015	RT078	2	0	0	0.098	0.096	0.472	8.521666666666665	3.309734513274336	0.098	1.7357295869712568e-06	0.5804641003430401	0.47979537472303113	0.6882951577991245	0.5237192374042157	4.333333333333333	0.35696294150564256	0.2767769033063642	1.941790309202135	3.6666666666666665	4.333333333333333	0.0	0.0	2.801892462064619	2.5	2.5	4.5	FALSE
200	A2	2020-06-22-R3	Glucose	Low	CD1015	RT078	2	0	0	0.098	0.096	0.472	8.521666666666665	3.309734513274336	0.098	1.7357295869712568e-06	16.30000983809149	11.45355134858345	1.1346610865785562	0.7583078924304106	14.0	0.2876002121235033	-0.409745855120409	2.410106638802788	5.166666666666667	22.5	1.1685437502196092	0.7927778783663624	4.532593652380774	4.5	4.5	24.0	FALSE
206	G2	2020-06-22-R3	Water	None	CD1015	RT078	2	1	0	0.107	0.101	0.22	4.384833333333333	1.0	0.107	3.6816273594421685e-07	0.2695745909125704	0.23138854218401708	0.2879674261524323	0.2530653371080352	5.666666666666667	0.1210044467847057	0.06835550861501606	5.728278579655928	4.0	5.666666666666667	0.0	0.0	3.244459853801837	1.8333333333333333	0.0	5.833333333333333	FALSE
206	G2	2020-06-22-R3	Water	None	CD1015	RT078	2	1	0	0.107	0.101	0.22	4.384833333333333	1.0	0.107	3.6816273594421685e-07	8.326137421006537	6.732805509582817	0.569376133921498	0.4506781734600753	13.166666666666666	0.11482530201657871	-0.008937916866891682	6.036536968654063	8.0	22.166666666666668	0.0806445474771047	0.05275370031643478	6.316007335260261	5.833333333333333	5.833333333333333	24.0	FALSE
210	C3	2020-06-22-R3	Fructose	Low	CD2001	RT078	3	0	0	0.094	0.093	0.589	7.818333333333333	5.0	0.094	8.959047888367326e-07	0.9418109959019345	0.7696292223431391	0.874570730162092	0.6283796892971647	4.0	0.3701317223198935	0.36823385037061523	1.872704063881559	3.8333333333333335	4.0	0.0	0.0	2.3020137427506278	0.16666666666666666	0.0	4.166666666666667	FALSE
210	C3	2020-06-22-R3	Fructose	Low	CD2001	RT078	3	0	0	0.094	0.093	0.589	7.818333333333333	5.0	0.094	8.959047888367326e-07	19.253578572865944	10.444261623762943	2.146086061881214	1.1461591602317893	11.666666666666666	0.3881003992836435	-0.5975257498740407	1.785999658437244	5.0	16.666666666666668	2.467733620379471	1.534247461112049	4.198924169202717	4.166666666666667	4.166666666666667	24.0	FALSE
214	G3	2020-06-22-R3	Water	None	CD2001	RT078	3	1	0	0.09	0.088	0.189	3.8634999999999997	1.0	0.09	2.061189285461716e-07	0.6813523945337492	0.6008336087907069	0.4325901330448654	0.35948408772849866	5.833333333333333	0.12737999399084815	0.10414004690190315	5.441570209288483	4.5	5.833333333333333	0.0	0.0	2.897534278133004	0.6666666666666666	0.0	6.0	FALSE
214	G3	2020-06-22-R3	Water	None	CD2001	RT078	3	1	0	0.09	0.088	0.189	3.8634999999999997	1.0	0.09	2.061189285461716e-07	6.7379375375933765	5.661310470001968	0.4430664684374468	0.36677034140409476	14.166666666666666	0.10753579031320809	-0.0068835376168658565	6.445734750645241	7.0	22.333333333333332	0.04964226998441612	0.03500617146115326	6.026247952468139	6.0	6.0	24.0	FALSE
216	A4	2020-06-22-R3	Glucose	Low	CD2015	RT027	4	0	0	0.102	0.1	0.65	10.590333333333332	7.506849315068493	0.102	2.8402807407169955e-05	7.849600088268069	4.227507564738932	3.361465338410772	1.4728080876878897	8.5	0.45483709068019523	-0.0329572985724166	1.5239460342237359	6.5	8.666666666666666	0.013855660160647432	0.0031818928701861093	4.490021303111167	0.0	0.0	8.833333333333334	FALSE
216	A4	2020-06-22-R3	Glucose	Low	CD2015	RT027	4	0	0	0.102	0.1	0.65	10.590333333333332	7.506849315068493	0.102	2.8402807407169955e-05	4.985915960757577	4.2249358701002055	0.4784598448634496	0.3910009005661579	18.166666666666668	0.2780926251886438	-0.4344508238512565	2.492504718849519	10.166666666666666	23.833333333333332	0.4720737725465909	0.3846351328106994	9.675439882583248	9.166666666666666	8.833333333333334	24.0	FALSE
219	D4	2020-06-22-R3	Fructose	High	CD2015	RT027	4	0	0	0.096	0.092	0.4	6.435833333333333	4.164383561643835	0.096	1.4482513075732783e-05	4.6988376206598685	2.825272600221419	2.2749301640959945	1.1862965449197025	8.5	0.45810790004411567	-0.14149409953917358	1.5130653291357679	7.0	8.833333333333334	0.09510732243414344	0.029471059848715342	5.3560887542820375	0.0	0.0	9.0	FALSE
219	D4	2020-06-22-R3	Fructose	High	CD2015	RT027	4	0	0	0.096	0.092	0.4	6.435833333333333	4.164383561643835	0.096	1.4482513075732783e-05	2.2771178360582294	2.007743155768437	0.3494675174680675	0.29971008313663594	23.666666666666668	0.13523462957527146	-0.006011198975433346	5.1255154300115136	10.833333333333334	23.833333333333332	0.0002374249675844986	0.00017595522174840283	11.221926761014123	10.0	9.0	24.0	FALSE
221	F4	2020-06-22-R3	Trehalose	High	CD2015	RT027	4	0	0	0.098	0.094	0.449	7.281333333333333	4.808219178082191	0.098	9.015924750914205e-06	5.583265103403985	3.233456610525879	2.505850420449147	1.2544331217124582	9.0	0.43309388973820667	-0.05072337513360735	1.6004547673922014	7.333333333333333	9.333333333333334	0.024642006624181256	0.0070536428497876	5.45949828127347	0.0	0.0	9.5	FALSE
221	F4	2020-06-22-R3	Trehalose	High	CD2015	RT027	4	0	0	0.098	0.094	0.449	7.281333333333333	4.808219178082191	0.098	9.015924750914205e-06	2.5663379877903294	2.2985389798253157	0.32636220079974243	0.2824400074051805	23.833333333333332	0.09062735031455356	0.02012933135036442	7.648322257620225	11.166666666666666	23.833333333333332	0.0	0.0	11.069133853225841	10.333333333333334	9.5	24.0	FALSE
222	G4	2020-06-22-R3	Water	None	CD2015	RT027	4	1	0	0.094	0.089	0.167	3.1501666666666663	1.0	0.094	1.8762262826860499e-06	0.802420922254227	0.6446781788081318	0.5513558619931778	0.4391292982336473	8.833333333333334	0.18499553036972224	0.04759918727124614	3.746832040615566	7.0	8.833333333333334	0.0	0.0	5.831172776339519	1.5	0.0	9.0	FALSE
222	G4	2020-06-22-R3	Water	None	CD2015	RT027	4	1	0	0.094	0.089	0.167	3.1501666666666663	1.0	0.094	1.8762262826860499e-06	0.09174651708571785	0.0645904190456938	0.1374482009046738	0.12878733313987661	11.5	0.07218679116000798	-0.05822144749320688	9.602133152359237	10.333333333333334	12.666666666666666	0.21152923277681435	0.20575588872615014	9.261115469597891	9.0	9.0	24.0	FALSE
225	B5	2020-06-22-R3	Glucose	High	CD2048	RT053	5	0	0	0.1	0.097	0.702	11.786000000000001	6.142857142857142	0.1	2.857026453552e-05	0.9044090573633978	0.7273913356409238	0.8585170462840281	0.6197788827787661	4.833333333333333	0.322080607419653	0.3196610638314305	2.152092254523146	4.666666666666667	4.833333333333333	0.0	0.0	2.9084908176117428	0.0	0.0	5.0	FALSE
