Well	Plate_ID	Substrate	Concentration	Isolate	Ribotype	Group	Control	Flag	Subset	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change
A1	2020-06-22-R3	Glucose	Low	CD1007	RT053	1	0	0	1	0.098	0.094	0.579	9.433	4.042016806722689
B1	2020-06-22-R3	Glucose	High	CD1007	RT053	1	0	0	1	0.095	0.091	0.457	7.9395	3.042016806722689
C1	2020-06-22-R3	Fructose	Low	CD1007	RT053	1	0	0	1	0.098	0.095	0.505	8.334666666666667	3.420168067226891
D1	2020-06-22-R3	Fructose	High	CD1007	RT053	1	0	0	1	0.101	0.096	0.563	9.282	3.8823529411764706
E1	2020-06-22-R3	Trehalose	Low	CD1007	RT053	1	0	0	1	0.094	0.089	0.231	4.093666666666667	1.1512605042016808
F1	2020-06-22-R3	Trehalose	High	CD1007	RT053	1	0	0	1	0.1	0.094	0.194	3.7424999999999997	0.7899159663865547
G1	2020-06-22-R3	Water	None	CD1007	RT053	1	1	0	1	0.091	0.087	0.21	3.988833333333333	1.0
H1	2020-06-22-R3	Glucose	Low			13	0	0	1	0.096	0.069	0.112	1.8453333333333337	15.999999999999986
A2	2020-06-22-R3	Glucose	Low	CD1015	RT078	2	0	0	1	0.098	0.096	0.472	8.521666666666665	3.309734513274336
B2	2020-06-22-R3	Glucose	High	CD1015	RT078	2	0	0	1	0.092	0.09	0.483	9.2165	3.4601769911504423
C2	2020-06-22-R3	Fructose	Low	CD1015	RT078	2	0	0	1	0.099	0.097	0.608	9.649666666666667	4.504424778761062
D2	2020-06-22-R3	Fructose	High	CD1015	RT078	2	0	0	1	0.096	0.092	0.54	9.942333333333334	3.929203539823009
E2	2020-06-22-R3	Trehalose	Low	CD1015	RT078	2	0	0	1	0.095	0.093	0.496	8.790666666666667	3.5486725663716814
F2	2020-06-22-R3	Trehalose	High	CD1015	RT078	2	0	0	1	0.095	0.093	0.543	9.417833333333334	3.964601769911505
G2	2020-06-22-R3	Water	None	CD1015	RT078	2	1	0	1	0.107	0.101	0.22	4.384833333333333	1.0
H2	2020-06-22-R3	Glucose	High			13	0	0	1	0.067	0.066	0.071	1.6475	3.9999999999999862
A3	2020-06-22-R3	Glucose	Low	CD2001	RT078	3	0	0	1	0.096	0.095	0.676	11.405833333333332	5.858585858585859
B3	2020-06-22-R3	Glucose	High	CD2001	RT078	3	0	0	1	0.088	0.087	0.572	10.6865	4.888888888888888
C3	2020-06-22-R3	Fructose	Low	CD2001	RT078	3	0	0	1	0.094	0.093	0.589	7.818333333333333	5.0
D3	2020-06-22-R3	Fructose	High	CD2001	RT078	3	0	0	1	0.097	0.095	0.589	10.904833333333332	4.96969696969697
E3	2020-06-22-R3	Trehalose	Low	CD2001	RT078	3	0	0	1	0.094	0.092	0.559	10.017499999999998	4.696969696969697
F3	2020-06-22-R3	Trehalose	High	CD2001	RT078	3	0	0	1	0.092	0.091	0.657	11.271833333333335	5.707070707070708
G3	2020-06-22-R3	Water	None	CD2001	RT078	3	1	0	1	0.09	0.088	0.189	3.8634999999999997	1.0
H3	2020-06-22-R3	Fructose	Low			13	0	0	1	0.073	0.067	0.076	1.6766666666666672	3.0
A4	2020-06-22-R3	Glucose	Low	CD2015	RT027	4	0	0	1	0.102	0.1	0.65	10.590333333333332	7.506849315068493
B4	2020-06-22-R3	Glucose	High	CD2015	RT027	4	0	0	1	0.102	0.099	0.467	7.971499999999999	5.0
C4	2020-06-22-R3	Fructose	Low	CD2015	RT027	4	0	0	1	0.1	0.095	0.499	7.763	5.465753424657533
D4	2020-06-22-R3	Fructose	High	CD2015	RT027	4	0	0	1	0.096	0.092	0.4	6.435833333333333	4.164383561643835
E4	2020-06-22-R3	Trehalose	Low	CD2015	RT027	4	0	0	1	0.099	0.094	0.338	5.901666666666666	3.273972602739726
