Well	Plate_ID	Substrate	Concentration	Isolate	Ribotype	Group	Control	Flag	Subset	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change
F4	2020-06-22-R3	Trehalose	High	CD2015	RT027	4	0	0	1	0.098	0.094	0.449	7.281333333333333	4.808219178082191
G4	2020-06-22-R3	Water	None	CD2015	RT027	4	1	0	1	0.094	0.089	0.167	3.1501666666666663	1.0
H4	2020-06-22-R3	Fructose	High			13	0	0	1	0.066	0.064	0.067	1.574833333333333	1.0
A5	2020-06-22-R3	Glucose	Low	CD2048	RT053	5	0	0	1	0.1	0.1	0.555	9.580666666666668	4.642857142857143
B5	2020-06-22-R3	Glucose	High	CD2048	RT053	5	0	0	1	0.1	0.097	0.702	11.786000000000001	6.142857142857142
C5	2020-06-22-R3	Fructose	Low	CD2048	RT053	5	0	0	1	0.101	0.097	0.531	8.803333333333333	4.387755102040817
D5	2020-06-22-R3	Fructose	High	CD2048	RT053	5	0	0	1	0.1	0.095	0.566	10.125	4.755102040816326
E5	2020-06-22-R3	Trehalose	Low	CD2048	RT053	5	0	0	1	0.094	0.09	0.23	4.275166666666666	1.3877551020408163
F5	2020-06-22-R3	Trehalose	High	CD2048	RT053	5	0	0	1	0.099	0.095	0.212	4.0073333333333325	1.1530612244897958
G5	2020-06-22-R3	Water	None	CD2048	RT053	5	1	0	1	0.094	0.09	0.192	3.752	1.0
H5	2020-06-22-R3	Trehalose	Low			13	0	0	1	0.065	0.065	0.069	1.6206666666666665	4.0
A6	2020-06-22-R3	Glucose	Low	CD2058	Unknown	6	0	0	1	0.09	0.09	0.607	8.847166666666666	5.681318681318682
B6	2020-06-22-R3	Glucose	High	CD2058	Unknown	6	0	0	1	0.105	0.102	0.638	9.919	5.857142857142858
C6	2020-06-22-R3	Fructose	Low	CD2058	Unknown	6	0	0	1	0.095	0.092	0.503	7.432166666666666	4.483516483516484
D6	2020-06-22-R3	Fructose	High	CD2058	Unknown	6	0	0	1	0.097	0.096	0.338	5.910833333333333	2.6483516483516487
E6	2020-06-22-R3	Trehalose	Low	CD2058	Unknown	6	0	0	1	0.094	0.092	0.344	5.592833333333332	2.747252747252747
F6	2020-06-22-R3	Trehalose	High	CD2058	Unknown	6	0	0	1	0.093	0.091	0.407	6.546333333333332	3.45054945054945
G6	2020-06-22-R3	Water	None	CD2058	Unknown	6	1	0	1	0.089	0.086	0.18	3.4353333333333333	1.0
H6	2020-06-22-R3	Trehalose	High			13	0	0	1	0.066	0.065	0.068	1.607166666666667	2.0
A7	2020-06-22-R3	Glucose	Low	CD3014	RT001	7	0	0	1	0.096	0.096	0.666	10.472	6.404494382022473
B7	2020-06-22-R3	Glucose	High	CD3014	RT001	7	0	0	1	0.094	0.092	0.505	8.101833333333333	4.617977528089888
C7	2020-06-22-R3	Fructose	Low	CD3014	RT001	7	0	0	1	0.095	0.092	0.547	8.687333333333335	5.078651685393259
D7	2020-06-22-R3	Fructose	High	CD3014	RT001	7	0	0	1	0.103	0.101	0.595	9.563833333333333	5.52808988764045
E7	2020-06-22-R3	Trehalose	Low	CD3014	RT001	7	0	0	1	0.092	0.09	0.195	3.6808333333333327	1.157303370786517
F7	2020-06-22-R3	Trehalose	High	CD3014	RT001	7	0	0	1	0.095	0.091	0.211	3.9486666666666665	1.303370786516854
G7	2020-06-22-R3	Water	None	CD3014	RT001	7	1	0	1	0.088	0.084	0.177	3.3658333333333332	1.0
H7	2020-06-22-R3	Water				13	1	0	1	0.066	0.065	0.067	1.5916666666666666	1.0
A8	2020-06-22-R3	Glucose	Low	CD4001	RT027	8	0	0	1	0.082	0.082	0.527	9.030999999999999	3.9035087719298245
B8	2020-06-22-R3	Glucose	High	CD4001	RT027	8	0	0	1	0.079	0.077	0.51	8.5305	3.780701754385965
C8	2020-06-22-R3	Fructose	Low	CD4001	RT027	8	0	0	1	0.085	0.084	0.404	6.536333333333333	2.7982456140350878
D8	2020-06-22-R3	Fructose	High	CD4001	RT027	8	0	0	1	0.081	0.08	0.609	9.038333333333332	4.631578947368421
E8	2020-06-22-R3	Trehalose	Low	CD4001	RT027	8	0	0	1	0.082	0.081	0.347	5.8454999999999995	2.3245614035087714
F8	2020-06-22-R3	Trehalose	High	CD4001	RT027	8	0	0	1	0.084	0.082	0.28	5.185833333333334	1.719298245614035
G8	2020-06-22-R3	Water	None	CD4001	RT027	8	1	0	1	0.083	0.082	0.197	3.7383333333333337	1.0
H8	2020-06-22-R3					0	0	0	1	0.069	0.069	0.069	1.6675	
A9	2020-06-22-R3	Glucose	Low	CD4010	RT027	9	0	0	1	0.089	0.087	0.431	6.994666666666667	3.976744186046511
B9	2020-06-22-R3	Glucose	High	CD4010	RT027	9	0	0	1	0.093	0.088	0.404	6.665166666666667	3.616279069767442
C9	2020-06-22-R3	Fructose	Low	CD4010	RT027	9	0	0	1	0.094	0.087	0.602	8.626499999999998	5.906976744186046
D9	2020-06-22-R3	Fructose	High	CD4010	RT027	9	0	0	1	0.093	0.087	0.604	9.0005	5.941860465116279
E9	2020-06-22-R3	Trehalose	Low	CD4010	RT027	9	0	0	1	0.093	0.089	0.265	4.819833333333333	2.0
F9	2020-06-22-R3	Trehalose	High	CD4010	RT027	9	0	0	1	0.087	0.082	0.432	6.604666666666666	4.011627906976743
G9	2020-06-22-R3	Water	None	CD4010	RT027	9	1	0	1	0.082	0.079	0.168	3.0995	1.0
H9	2020-06-22-R3					0	0	0	1	0.071	0.07	0.071	1.6938333333333337	
A10	2020-06-22-R3	Glucose	Low	CD4011	RT001	10	0	0	1	0.096	0.096	0.717	11.779499999999999	5.594594594594594
B10	2020-06-22-R3	Glucose	High	CD4011	RT001	10	0	0	1	0.095	0.092	0.646	11.033499999999998	4.963963963963963
C10	2020-06-22-R3	Fructose	Low	CD4011	RT001	10	0	0	1	0.097	0.094	0.636	10.125666666666667	4.8558558558558556
D10	2020-06-22-R3	Fructose	High	CD4011	RT001	10	0	0	1	0.111	0.104	0.679	11.613333333333333	5.117117117117117
E10	2020-06-22-R3	Trehalose	Low	CD4011	RT001	10	0	0	1	0.09	0.087	0.19	3.8078333333333334	0.9009009009009008
F10	2020-06-22-R3	Trehalose	High	CD4011	RT001	10	0	0	1	0.097	0.093	0.232	4.485999999999999	1.2162162162162162
G10	2020-06-22-R3	Water	None	CD4011	RT001	10	1	0	1	0.09	0.087	0.201	3.9311666666666665	1.0
H10	2020-06-22-R3					0	0	0	1	0.076	0.075	0.076	1.8364999999999994	
A11	2020-06-22-R3	Glucose	Low	CD4015	RT027	11	0	0	1	0.086	0.086	0.613	9.299333333333333	7.637681159420289
B11	2020-06-22-R3	Glucose	High	CD4015	RT027	11	0	0	1	0.088	0.084	0.524	8.586333333333332	6.3188405797101455
C11	2020-06-22-R3	Fructose	Low	CD4015	RT027	11	0	0	1	0.088	0.084	0.646	8.8885	8.08695652173913
D11	2020-06-22-R3	Fructose	High	CD4015	RT027	11	0	0	1	0.097	0.09	0.675	9.474833333333335	8.376811594202898
E11	2020-06-22-R3	Trehalose	Low	CD4015	RT027	11	0	0	1	0.094	0.087	0.39	5.623666666666667	4.2898550724637685
F11	2020-06-22-R3	Trehalose	High	CD4015	RT027	11	0	0	1	0.1	0.091	0.539	8.043000000000001	6.362318840579711
G11	2020-06-22-R3	Water	None	CD4015	RT027	11	1	0	1	0.089	0.079	0.158	2.917333333333333	1.0
H11	2020-06-22-R3					0	0	0	1	0.072	0.071	0.072	1.7393333333333332	
A12	2020-06-22-R3	Glucose	Low	M120	RT078	12	0	0	1	0.091	0.091	0.508	8.503833333333334	3.971428571428572
B12	2020-06-22-R3	Glucose	High	M120	RT078	12	0	0	1	0.092	0.092	0.598	10.860666666666667	4.81904761904762
C12	2020-06-22-R3	Fructose	Low	M120	RT078	12	0	0	1	0.096	0.095	0.554	7.5841666666666665	4.361904761904762
D12	2020-06-22-R3	Fructose	High	M120	RT078	12	0	0	1	0.097	0.095	0.543	10.093333333333335	4.2476190476190485
E12	2020-06-22-R3	Trehalose	Low	M120	RT078	12	0	0	1	0.105	0.094	0.513	9.014999999999999	3.885714285714286
F12	2020-06-22-R3	Trehalose	High	M120	RT078	12	0	0	1	0.104	0.098	0.582	9.801666666666666	4.552380952380952
G12	2020-06-22-R3	Water	None	M120	RT078	12	1	0	1	0.106	0.093	0.211	4.210166666666666	1.0
H12	2020-06-22-R3					0	0	0	1	0.073	0.072	0.099	1.7706666666666664	
