Well	Plate_ID	Substrate	Concentration	Isolate	Ribotype	Group	Control	Flag	Subset	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change
C6	2020-06-22-R1	Fructose	Low	CD2058	Unknown	6	0	0	1	0.093	0.091	0.382	5.977999999999999	2.9191919191919196
D6	2020-06-22-R1	Fructose	High	CD2058	Unknown	6	0	0	1	0.093	0.092	0.335	5.514166666666666	2.4444444444444446
E6	2020-06-22-R1	Trehalose	Low	CD2058	Unknown	6	0	0	1	0.093	0.092	0.358	5.414	2.676767676767677
F6	2020-06-22-R1	Trehalose	High	CD2058	Unknown	6	0	0	1	0.086	0.085	0.356	5.700666666666667	2.7272727272727275
G6	2020-06-22-R1	Water	None	CD2058	Unknown	6	1	0	1	0.087	0.086	0.186	3.3848333333333334	1.0
H6	2020-06-22-R1	Trehalose	High			13	0	0	1	0.069	0.068	0.07	1.6696666666666666	1.0
A7	2020-06-22-R1	Glucose	Low	CD3014	RT001	7	0	0	1	0.094	0.092	0.675	10.426166666666665	7.545454545454547
B7	2020-06-22-R1	Glucose	High	CD3014	RT001	7	0	0	1	0.091	0.09	0.58	9.233	6.35064935064935
C7	2020-06-22-R1	Fructose	Low	CD3014	RT001	7	0	0	1	0.091	0.089	0.636	9.346166666666665	7.077922077922079
D7	2020-06-22-R1	Fructose	High	CD3014	RT001	7	0	0	1	0.093	0.092	0.595	9.350333333333333	6.51948051948052
E7	2020-06-22-R1	Trehalose	Low	CD3014	RT001	7	0	0	1	0.089	0.086	0.173	3.3615	1.0909090909090908
F7	2020-06-22-R1	Trehalose	High	CD3014	RT001	7	0	0	1	0.084	0.083	0.157	3.0199999999999996	0.948051948051948
G7	2020-06-22-R1	Water	None	CD3014	RT001	7	1	0	1	0.085	0.083	0.162	3.2351666666666663	1.0
H7	2020-06-22-R1	Water				13	1	0	1	0.065	0.065	0.066	1.5856666666666663	1.0
A8	2020-06-22-R1	Glucose	Low	CD4001	RT027	8	0	0	1	0.08	0.079	0.466	7.9353333333333325	3.7115384615384617
B8	2020-06-22-R1	Glucose	High	CD4001	RT027	8	0	0	1	0.079	0.078	0.552	9.121666666666666	4.548076923076923
C8	2020-06-22-R1	Fructose	Low	CD4001	RT027	8	0	0	1	0.081	0.08	0.569	8.0315	4.692307692307692
D8	2020-06-22-R1	Fructose	High	CD4001	RT027	8	0	0	1	0.081	0.081	0.415	7.1403333333333325	3.2115384615384612
E8	2020-06-22-R1	Trehalose	Low	CD4001	RT027	8	0	0	1	0.078	0.077	0.33	5.596666666666666	2.4230769230769234
F8	2020-06-22-R1	Trehalose	High	CD4001	RT027	8	0	0	1	0.077	0.076	0.287	5.234	2.019230769230769
G8	2020-06-22-R1	Water	None	CD4001	RT027	8	1	0	1	0.078	0.078	0.182	3.5088333333333335	1.0
H8	2020-06-22-R1					0	0	0	1	0.07	0.069	0.07	1.668	
A9	2020-06-22-R1	Glucose	Low	CD4010	RT027	9	0	0	1	0.082	0.079	0.443	7.235666666666666	4.2976190476190474
B9	2020-06-22-R1	Glucose	High	CD4010	RT027	9	0	0	1	0.08	0.077	0.439	7.110333333333332	4.273809523809524
C9	2020-06-22-R1	Fructose	Low	CD4010	RT027	9	0	0	1	0.087	0.084	0.641	8.554499999999999	6.595238095238096
D9	2020-06-22-R1	Fructose	High	CD4010	RT027	9	0	0	1	0.083	0.08	0.659	9.141333333333334	6.857142857142858
E9	2020-06-22-R1	Trehalose	Low	CD4010	RT027	9	0	0	1	0.086	0.083	0.273	4.688000000000001	2.2261904761904763
F9	2020-06-22-R1	Trehalose	High	CD4010	RT027	9	0	0	1	0.082	0.08	0.302	5.3134999999999994	2.6190476190476186
G9	2020-06-22-R1	Water	None	CD4010	RT027	9	1	0	1	0.081	0.078	0.165	3.146666666666666	1.0
H9	2020-06-22-R1					0	0	0	1	0.069	0.068	0.069	1.6441666666666668	
A10	2020-06-22-R1	Glucose	Low	CD4011	RT001	10	0	0	1	0.092	0.091	0.701	11.158333333333333	5.691588785046728
B10	2020-06-22-R1	Glucose	High	CD4011	RT001	10	0	0	1	0.099	0.098	0.762	12.87283333333333	6.19626168224299
C10	2020-06-22-R1	Fructose	Low	CD4011	RT001	10	0	0	1	0.092	0.091	0.73	10.939166666666665	5.962616822429906
D10	2020-06-22-R1	Fructose	High	CD4011	RT001	10	0	0	1	0.098	0.097	0.732	12.045333333333334	5.925233644859812
E10	2020-06-22-R1	Trehalose	Low	CD4011	RT001	10	0	0	1	0.088	0.086	0.185	3.6736666666666666	0.9065420560747662
F10	2020-06-22-R1	Trehalose	High	CD4011	RT001	10	0	0	1	0.089	0.087	0.226	4.328333333333333	1.280373831775701
G10	2020-06-22-R1	Water	None	CD4011	RT001	10	1	0	1	0.096	0.094	0.203	4.092833333333333	1.0
H10	2020-06-22-R1					0	0	0	1	0.069	0.068	0.069	1.6656666666666666	
A11	2020-06-22-R1	Glucose	Low	CD4015	RT027	11	0	0	1	0.09	0.088	0.494	8.202166666666665	5.534246575342466
B11	2020-06-22-R1	Glucose	High	CD4015	RT027	11	0	0	1	0.092	0.089	0.446	7.555	4.84931506849315
C11	2020-06-22-R1	Fructose	Low	CD4015	RT027	11	0	0	1	0.088	0.085	0.708	9.472333333333335	8.493150684931505
D11	2020-06-22-R1	Fructose	High	CD4015	RT027	11	0	0	1	0.094	0.09	0.714	10.067499999999999	8.493150684931505
E11	2020-06-22-R1	Trehalose	Low	CD4015	RT027	11	0	0	1	0.086	0.084	0.303	5.1265	2.972602739726027
F11	2020-06-22-R1	Trehalose	High	CD4015	RT027	11	0	0	1	0.085	0.083	0.355	5.841166666666667	3.6986301369863
G11	2020-06-22-R1	Water	None	CD4015	RT027	11	1	0	1	0.086	0.083	0.159	3.0836666666666663	1.0
H11	2020-06-22-R1					0	0	0	1	0.071	0.071	0.071	1.7158333333333333	
A12	2020-06-22-R1	Glucose	Low	M120	RT078	12	0	0	1	0.103	0.103	0.594	9.472333333333331	3.583941605839416
B12	2020-06-22-R1	Glucose	High	M120	RT078	12	0	0	1	0.095	0.095	0.678	12.624500000000001	4.255474452554744
C12	2020-06-22-R1	Fructose	Low	M120	RT078	12	0	0	1	0.092	0.091	0.616	8.547166666666666	3.824817518248175
D12	2020-06-22-R1	Fructose	High	M120	RT078	12	0	0	1	0.094	0.093	0.621	11.426999999999998	3.846715328467153
E12	2020-06-22-R1	Trehalose	Low	M120	RT078	12	0	0	1	0.09	0.089	0.601	10.480166666666666	3.72992700729927
F12	2020-06-22-R1	Trehalose	High	M120	RT078	12	0	0	1	0.098	0.097	0.69	11.655666666666667	4.321167883211678
G12	2020-06-22-R1	Water	None	M120	RT078	12	1	0	1	0.095	0.094	0.232	4.562833333333334	1.0
H12	2020-06-22-R1					0	0	0	1	0.073	0.073	0.073	1.7641666666666662	
