Well	Plate_ID	Substrate	Concentration	Isolate	Ribotype	Group	Control	Flag	Subset	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change
A1	2020-06-22-R1	Glucose	Low	CD1007	RT053	1	0	0	1	0.105	0.101	0.524	8.3215	3.1037037037037036
B1	2020-06-22-R1	Glucose	High	CD1007	RT053	1	0	0	1	0.095	0.091	0.486	7.9626666666666654	2.8962962962962964
C1	2020-06-22-R1	Fructose	Low	CD1007	RT053	1	0	0	1	0.101	0.098	0.522	8.4085	3.1185185185185187
D1	2020-06-22-R1	Fructose	High	CD1007	RT053	1	0	0	1	0.101	0.097	0.59	10.115833333333333	3.622222222222222
E1	2020-06-22-R1	Trehalose	Low	CD1007	RT053	1	0	0	1	0.096	0.092	0.194	3.632333333333333	0.7259259259259259
F1	2020-06-22-R1	Trehalose	High	CD1007	RT053	1	0	0	1	0.104	0.1	0.201	3.777833333333333	0.7185185185185186
G1	2020-06-22-R1	Water	None	CD1007	RT053	1	1	0	1	0.096	0.093	0.231	4.132	1.0
H1	2020-06-22-R1	Glucose	Low			13	0	0	1	0.076	0.074	0.076	1.794	0.0
A2	2020-06-22-R1	Glucose	Low	CD1015	RT078	2	0	0	1	0.099	0.097	0.464	8.393666666666666	2.8076923076923075
B2	2020-06-22-R1	Glucose	High	CD1015	RT078	2	0	0	1	0.094	0.092	0.51	9.774833333333332	3.2
C2	2020-06-22-R1	Fructose	Low	CD1015	RT078	2	0	0	1	0.096	0.094	0.564	8.263666666666666	3.5999999999999996
D2	2020-06-22-R1	Fructose	High	CD1015	RT078	2	0	0	1	0.096	0.094	0.56	10.631666666666668	3.56923076923077
E2	2020-06-22-R1	Trehalose	Low	CD1015	RT078	2	0	0	1	0.094	0.092	0.538	9.562333333333333	3.4153846153846157
F2	2020-06-22-R1	Trehalose	High	CD1015	RT078	2	0	0	1	0.1	0.099	0.528	9.488166666666665	3.2923076923076926
G2	2020-06-22-R1	Water	None	CD1015	RT078	2	1	0	1	0.092	0.091	0.222	4.431666666666666	1.0
H2	2020-06-22-R1	Glucose	High			13	0	0	1	0.071	0.069	0.075	1.7351666666666665	4.0
A3	2020-06-22-R1	Glucose	Low	CD2001	RT078	3	0	0	1	0.096	0.095	0.615	9.457833333333332	3.816176470588235
B3	2020-06-22-R1	Glucose	High	CD2001	RT078	3	0	0	1	0.092	0.091	0.566	10.545666666666666	3.4852941176470584
C3	2020-06-22-R1	Fructose	Low	CD2001	RT078	3	0	0	1	0.089	0.089	0.57	7.604833333333334	3.5367647058823524
D3	2020-06-22-R1	Fructose	High	CD2001	RT078	3	0	0	1	0.094	0.093	0.601	11.146999999999998	3.727941176470588
E3	2020-06-22-R1	Trehalose	Low	CD2001	RT078	3	0	0	1	0.091	0.089	0.563	10.069333333333333	3.4705882352941173
F3	2020-06-22-R1	Trehalose	High	CD2001	RT078	3	0	0	1	0.093	0.092	0.73	12.69833333333333	4.6838235294117645
G3	2020-06-22-R1	Water	None	CD2001	RT078	3	1	0	1	0.102	0.1	0.238	4.8335	1.0
H3	2020-06-22-R1	Fructose	Low			13	0	0	1	0.07	0.069	0.074	1.7234999999999998	3.9999999999999862
A4	2020-06-22-R1	Glucose	Low	CD2015	RT027	4	0	0	1	0.1	0.098	0.515	8.730333333333332	5.763888888888888
B4	2020-06-22-R1	Glucose	High	CD2015	RT027	4	0	0	1	0.096	0.095	0.426	7.598833333333332	4.583333333333332
C4	2020-06-22-R1	Fructose	Low	CD2015	RT027	4	0	0	1	0.099	0.095	0.586	8.305666666666667	6.7638888888888875
D4	2020-06-22-R1	Fructose	High	CD2015	RT027	4	0	0	1	0.106	0.101	0.582	9.409	6.61111111111111
E4	2020-06-22-R1	Trehalose	Low	CD2015	RT027	4	0	0	1	0.095	0.091	0.304	5.418333333333333	2.9027777777777772
F4	2020-06-22-R1	Trehalose	High	CD2015	RT027	4	0	0	1	0.097	0.094	0.407	6.851166666666667	4.3055555555555545
G4	2020-06-22-R1	Water	None	CD2015	RT027	4	1	0	1	0.099	0.094	0.171	3.2036666666666664	1.0
H4	2020-06-22-R1	Fructose	High			13	0	0	1	0.071	0.07	0.071	1.6970000000000003	0.0
A5	2020-06-22-R1	Glucose	Low	CD2048	RT053	5	0	0	1	0.099	0.098	0.542	9.296499999999998	4.300970873786408
B5	2020-06-22-R1	Glucose	High	CD2048	RT053	5	0	0	1	0.102	0.1	0.54	8.853	4.252427184466019
C5	2020-06-22-R1	Fructose	Low	CD2048	RT053	5	0	0	1	0.104	0.101	0.556	8.896	4.3883495145631075
D5	2020-06-22-R1	Fructose	High	CD2048	RT053	5	0	0	1	0.106	0.103	0.579	9.928833333333332	4.592233009708737
E5	2020-06-22-R1	Trehalose	Low	CD2048	RT053	5	0	0	1	0.097	0.093	0.22	4.252166666666667	1.1941747572815533
F5	2020-06-22-R1	Trehalose	High	CD2048	RT053	5	0	0	1	0.097	0.095	0.211	4.152833333333333	1.106796116504854
G5	2020-06-22-R1	Water	None	CD2048	RT053	5	1	0	1	0.092	0.089	0.195	3.8444999999999996	1.0
H5	2020-06-22-R1	Trehalose	Low			13	0	0	1	0.073	0.072	0.073	1.763166666666666	0.0
A6	2020-06-22-R1	Glucose	Low	CD2058	Unknown	6	0	0	1	0.094	0.092	0.625	8.875166666666665	5.363636363636363
B6	2020-06-22-R1	Glucose	High	CD2058	Unknown	6	0	0	1	0.102	0.102	0.662	9.697999999999999	5.656565656565657
